Ticker symbol, Security,SEC filings,Global Industry Classification StandardGICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,Central Index KeyCIK
NyseSymbolMMM,3M3M Company,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MMM&action=getcompany reports,Industrials     ,Industrial Conglomerates     St. Paul, Minnesota   0000066740
NyseSymbolABT,Abbott Laboratories,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ABT&action=getcompany reports,Health Care     Health Care Equipment     North Chicago, Illinois  1964-03-31  0000001800
NyseSymbolABBV,AbbVie,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ABBV&action=getcompany reports,Health Care     Pharmaceuticals     North Chicago, Illinois  2012-12-31  0001551152
NyseSymbolACN,Accenture plc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ACN&action=getcompany reports,Information Technology IT Consulting & Other Services Dublin, Ireland  2011-07-06  0001467373
NasdaqSymbolATVI,Activision Blizzard,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ATVI&action=getcompany reports,Information Technology Home Entertainment Software Santa Monica, California  2015-08-31  0000718877
NyseSymbolAYI,Acuity Brands Inc http://www.sec.gov/cgi-bin/browse-edgar?CIK=AYI&action=getcompany reports,Industrials Electrical Components & Equipment  Atlanta, Georgia  2016-05-03  0001144215 
NasdaqSymbolADBE,Adobe Systems Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ADBE&action=getcompany reports,Information Technology     Application Software     San Jose, California  1997-05-05  0000796343
NasdaqSymbolAMD,Advanced Micro Devices Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AMD&action=getcompany reports,Information Technology     Semiconductors     Sunnyvale, California  2017-03-20  0000002488
NyseSymbolAAP,Advance Auto Parts,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AAP&action=getcompany reports,Consumer Discretionary Automotive Retail  Roanoke, Virginia  2015-07-09  0001158449
NyseSymbolAES,AES Corp,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AES&action=getcompany reports,Utilities     Independent Power Producers & Energy Traders     Arlington, Virginia   0000874761
NyseSymbolAET,Aetna Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AET&action=getcompany reports,Health Care     Managed Health Care     Hartford, Connecticut  1976-06-30  0001122304
NyseSymbolAMG,Affiliated Managers Group Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AMG&action=getcompany reports,Financials Asset Management & Custody Banks Beverly, Massachusetts  2014-07-01  0001004434
